   epoch	Total loss	  Bce loss	Thresh loss	  L1 loss	Binary Acc	Binary IoU	   rescall	 precision	   hmean	
158.000000	0.972829	0.242414	0.213763	0.051665	0.821213	0.773785	0.000000	0.000000	0.000000	
159.000000	0.962684	0.237455	0.214996	0.051023	0.821453	0.774068	0.000000	0.000000	0.000000	
160.000000	0.973668	0.243427	0.217114	0.051313	0.821662	0.774329	0.000000	0.000000	0.000000	
161.000000	0.979287	0.243330	0.218948	0.051701	0.821894	0.774599	0.000000	0.000000	0.000000	
162.000000	0.975488	0.242905	0.217804	0.051478	0.822084	0.774840	0.000000	0.000000	0.000000	
163.000000	0.980938	0.248444	0.216746	0.051575	0.822287	0.775081	0.000000	0.000000	0.000000	
164.000000	1.001446	0.250443	0.219318	0.053169	0.822486	0.775316	0.000000	0.000000	0.000000	
165.000000	0.993208	0.249408	0.214046	0.052975	0.822618	0.775510	0.000000	0.000000	0.000000	
166.000000	0.989326	0.246857	0.222304	0.052017	0.822801	0.775730	0.000000	0.000000	0.000000	
167.000000	0.970874	0.243561	0.216194	0.051112	0.823004	0.775977	0.000000	0.000000	0.000000	
168.000000	0.975637	0.242518	0.215581	0.051754	0.823203	0.776220	0.000000	0.000000	0.000000	
169.000000	1.009499	0.255723	0.229650	0.052413	0.823384	0.776429	0.000000	0.000000	0.000000	
170.000000	0.993885	0.248395	0.223317	0.052217	0.823536	0.776631	0.000000	0.000000	0.000000	
171.000000	0.999563	0.253824	0.220195	0.052554	0.823655	0.776801	0.000000	0.000000	0.000000	
172.000000	1.018936	0.257886	0.227999	0.053305	0.823775	0.776966	0.000000	0.000000	0.000000	
173.000000	1.001938	0.251863	0.222934	0.052714	0.823943	0.777169	0.000000	0.000000	0.000000	
174.000000	0.991226	0.251204	0.219735	0.052029	0.824080	0.777355	0.000000	0.000000	0.000000	
175.000000	0.985988	0.248470	0.214856	0.052266	0.824279	0.777581	0.000000	0.000000	0.000000	
176.000000	0.983223	0.245981	0.213950	0.052329	0.824447	0.777787	0.000000	0.000000	0.000000	
177.000000	0.942554	0.230591	0.210195	0.050177	0.824663	0.778045	0.000000	0.000000	0.000000	
